name,website,phone,address,emails_found
"Sylvia Bartee, MD",https://www.novanthealth.org/pf/providers/1275595217?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1275595217,(704) 384-7980,"10810 Mallard Creek Rd, Charlotte, NC 28262, USA",
Eastowne Family Physicians,http://www.eastownefamilyphysicians.com/,(704) 512-5000,"4115 The Plaza, Charlotte, NC 28205, USA",
Novant Health Midtown Family Medicine,https://www.novanthealth.org/locations/clinics/midtown-family-medicine/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-183,(704) 446-2620,"335 N Caswell Rd, Charlotte, NC 28204, USA",
Atrium Health Primary Care Randolph Internal Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-randolph-internal-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 863-9700,"3030 Randolph Rd suite 200, Charlotte, NC 28211, USA",
Atrium Health Primary Care Charlotte Medical Clinic,https://atriumhealth.org/locations/detail/atrium-health-primary-care-charlotte-medical-clinic-arboretum?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(980) 375-0550,"3025 Springbank Ln #100, Charlotte, NC 28226, USA",
Atrium Health Primary Care North Charlotte Internal Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-north-charlotte-internal-medicine-university?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 537-0020,"101 E W.T. Harris Blvd #5401a, Charlotte, NC 28262, USA",
"Dr. Rhett L. Brown, MD (Avance Care)",https://www.avancecare.com/locations/midtown-charlotte-nc/,(704) 355-0607,"205 S Kings Dr, Charlotte, NC 28204, USA",
Novant Health Carolina Family Physicians,https://www.novanthealth.org/locations/clinics/carolina-family-physicians/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-048,(704) 801-3050,"7110 Lawyers Rd, Charlotte, NC 28227, USA",
Atrium Health Primary Care Charlotte Internal Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-charlotte-internal-medicine-dowd?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 384-6901,"400 E Morehead St, Charlotte, NC 28202, USA",
Atrium Health Primary Care Mountain Island Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-mountain-island-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 316-5080,"9908 Couloak Dr #202, Charlotte, NC 28216, USA",
Novant Health First Charlotte Physicians Matthews,https://www.novanthealth.org/locations/clinics/first-charlotte-physicians-matthews/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-095,(704) 384-1225,"1401 Matthews Township Pkwy # 200, Matthews, NC 28105, USA",
Novant Health Blakeney Family Physicians,https://www.novanthealth.org/locations/clinics/blakeney-family-physicians/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-021,(704) 316-2080,"5815 Blakeney Park Dr #200b, Charlotte, NC 28277, USA",
"| Dr. Thad A. Clements, MD",https://www.novanthealth.org/pf/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=gmb&utm_content=departed,(704) 512-3800,"8420 University Executive Park Dr # 850, Charlotte, NC 28262, USA",
Novant Health Steelecroft Primary Care,https://www.novanthealth.org/locations/clinics/steelecroft-primary-care/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-375,(704) 667-4150,"13425 Hoover Creek Blvd # 100, Charlotte, NC 28273, USA",
Atrium Health Perspective Health & Wellness,https://atriumhealth.org/locations/detail/perspective-health-and-wellness?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 510-9227,"4525 Cameron Valley Pkwy #1600, Charlotte, NC 28211, USA",
Atrium Health Primary Care South Charlotte Internal Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-south-charlotte-internal-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 626-3994,"7030 Pineville-Matthews Rd, Charlotte, NC 28226, USA",
"Dr. Tabetha L. Simpson, MD",http://artofmedicinedirect.com/,(704) 316-1700,"10320 Mallard Creek Rd STE 120, Charlotte, NC 28262, USA",
Reserve Health PC,https://www.reservehealth.com/,(704) 943-3640,"135 W 10th St, Charlotte, NC 28202, USA",info@reservehealth.com
Novant Health Steele Creek Family Medicine,https://www.novanthealth.org/locations/clinics/steele-creek-family-medicine/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-373,(704) 801-7310,"2610 W Arrowood Rd, Charlotte, NC 28273, USA",
"Dr. William J. Long, MD",https://www.mdvip.com/doctors/williamlongmd?utm_campaign=listing&st-t=rep_&utm_source=google&utm_medium=organic,(704) 360-8352,"8401 Medical Plaza Dr #365, Charlotte, NC 28262, USA",
"Sarah E. Goodman, MD",https://atriumhealth.org/provider-profile/sarah-goodman-1386644474?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB,(704) 384-0588,"4815 Johnston Oehler Rd STE 100, Charlotte, NC 28269, USA",
"Jimmie Adcock, MD",https://www.novanthealth.org/pf/providers/1649252818?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1649252818,(704) 446-1242,"1942 E 7th St Suite 200, Charlotte, NC 28204, USA",
"Eastway Medical Clinic & Urgent Care Charlotte, NC",http://www.eastwaymedicalclinic.com/,(980) 224-7288,"1220 Eastway Dr, Charlotte, NC 28205, USA",
"Jason Boothe, MD",https://www.novanthealth.org/pf/providers/1093151086?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1093151086,(704) 384-1260,"6324 Fairview Rd #201, Charlotte, NC 28210, USA",
Atrium Health CMC Myers Park Internal Medicine,https://atriumhealth.org/locations/detail/myers-park-internal-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 384-1500,"1350 S Kings Dr, Charlotte, NC 28207, USA",
Fanous Clinic Primary Care,https://fanousclinic.com/,(704) 304-8120,"10926 S Tryon St suite d, Charlotte, NC 28273, USA",
Novant Health Crown Point Family Physicians,https://www.novanthealth.org/locations/clinics/crown-point-family-physicians/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-066,(704) 826-3550,"9101 Monroe Rd #155, Charlotte, NC 28270, USA",
Novant Health University City Internal Medicine,https://www.novanthealth.org/locations/clinics/internal-medicine-university-city/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-397,(704) 667-5160,"8401 Medical Plaza Dr #250, Charlotte, NC 28262, USA",
Atrium Health Primary Care South End Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-south-end-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 446-2360,"2810 South Blvd B, Charlotte, NC 28209, USA",
Avance Care SouthPark,https://www.avancecare.com/locations/charlotte-nc/,(704) 801-3400,"5821 Fairview Rd Suite 106, Charlotte, NC 28209, USA",
"Curtis DeSena, MD",https://www.novanthealth.org/pf/providers/1245293786?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1245293786,(704) 384-9960,"10810 Mallard Creek Rd, Charlotte, NC 28262, USA",
"Dr. Alvin Y. Abaqueta, MD",https://www.mdvip.com/doctors/alvinabaquetamd?utm_campaign=listing&st-t=rep_&utm_source=google&utm_medium=organic,(919) 875-0539,"8401 Medical Plaza Dr #365, Charlotte, NC 28262, USA",
"Brian Carroll, MD",https://www.novanthealth.org/pf/providers/1184684151?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1184684151,(919) 781-7500,"1918 Randolph Rd #275, Charlotte, NC 28207, USA",
"Cordula D. Davis, MD",https://atriumhealth.org/provider-profile/cordula-davis-1710111489?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB,(919) 878-8596,"5929 South Blvd, Charlotte, NC 28217, USA",
Atrium Health Primary Care Cotswold Family Medicine,https://atriumhealth.org/locations/detail/atrium-health-primary-care-cotswold-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(919) 277-9866,"309 S Sharon Amity Rd #100, Charlotte, NC 28211, USA",
"Darin N. Kennedy, MD",https://atriumhealth.org/provider-profile/darin-kennedy-1881787299?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB,(919) 896-8383,"2001 Vail Ave #400, Charlotte, NC 28207, USA",
"Allen Joseph Shepard, DO",https://atriumhealth.org/provider-profile/allen-shepard-1770930679?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB,(919) 834-5299,"136 E 36th St Suite 200, Charlotte, NC 28206, USA",
"Richard Rachima, MD",https://www.novanthealth.org/pf/providers/1659344398?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1659344398,(919) 235-6566,"10514 Park Rd, Charlotte, NC 28210, USA",
Raleigh Family Practice,http://www.rfppa.com/,(919) 797-0550,"4414 Lake Boone Trail #502, Raleigh, NC 27607, USA",
"Wake Internal Medicine Consultants, Inc.",http://www.wakeinternalmedicine.com/,(919) 787-3448,"3237 Blue Ridge Rd, Raleigh, NC 27612, USA",
Capital Family Medicine,http://www.capitalfamilymedicine.com/,(919) 781-9979,"1422 E Millbrook Rd, Raleigh, NC 27609, USA",
doctor direct,http://doctordirectmd.com/,(919) 322-4722,"5838 Six Forks Rd #200, Raleigh, NC 27609, USA",info@doctordirectmd.com
"Dr. Scott D. Hoffman, MD",https://www.mdvip.com/doctors/scotthoffmanmd?utm_campaign=listing&st-t=rep_&utm_source=google&utm_medium=organic,(919) 841-4566,"4201 Lake Boone Trail #102, Raleigh, NC 27607, USA",
WakeMed Primary Care - Downtown Raleigh,https://www.wakemed.org/location/primary-care-downtown-raleigh,(919) 676-0202,"150 E Davie St, Raleigh, NC 27601, USA",
Dr. Vickie Fowler,https://www.wakemed.org/provider/vickie-fowler-md-primary-care,(919) 981-9898,"601 Oberlin Rd, Raleigh, NC 27605, USA",
Sentinel Primary Care,https://sentinelprimarycare.com/,(919) 875-8150,"10208 Cerny St # 308, Raleigh, NC 27617, USA",
"Jeffrey Allen Huang, MD",https://www.unchealth.org/care-services/doctors/h/jeffrey-jeff-allen-huang-md,(919) 832-5125,"2605 Blue Ridge Rd STE 300, Raleigh, NC 27607, USA",
Raleigh Adult Medicine,https://www.raleighadultmedicine.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,(919) 848-6946,"3200 Blue Ridge Rd STE 210, Raleigh, NC 27612, USA",
Avance Care Oberlin Road,https://www.avancecare.com/locations/central-raleigh-nc/,(919) 322-2035,"815 Oberlin Rd #200, Raleigh, NC 27605, USA",
North Raleigh Family Medicine,http://www.northraleighfamilymedicine.com/,(919) 782-1806,"8331 Bandford Way #101, Raleigh, NC 27615, USA",
"Reza Hatefi, PA-C",https://www.selectfamilypractice.com/?utm_source=gmb_auth,(919) 999-4223,"10931 Raven Ridge Rd #115, Raleigh, NC 27614, USA",contactus@selectfamilypractice.com
Satyam Primary Care,https://satyamprimarycare.com/,(919) 228-2415,"8851 Ellstree Ln #201, Raleigh, NC 27617, USA",contactus@satyamprimarycare.com
Family Medical Associates of Raleigh,http://fmaraleigh.com/,(888) 663-6331,"3500 Bush St, Raleigh, NC 27609, USA",
"Dr. James S. Parsons, MD",https://www.mdvip.com/doctors/jamesparsonsmd?utm_campaign=listing&st-t=rep_&utm_source=google&utm_medium=organic,(919) 977-1675,"704 W Jones St, Raleigh, NC 27603, USA",
WakeMed Primary Care - North Raleigh,https://www.wakemed.org/location/primary-care-north-raleigh,(919) 782-5288,"10010 Falls of Neuse Rd Suite 300, Raleigh, NC 27614, USA",
Raleigh Associated Medical Specialists,https://www.raleighassociatedmedical.com/?utm_source=gmb_auth,(919) 578-5525,"3372 Six Forks Rd, Raleigh, NC 27609, USA",staff@raleighassociatedmedicalspecialists.com
Raleigh Medical Group,https://www.raleighmedicalgroup.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,(919) 865-8000,"3700 Barrett Dr Suite 300, Raleigh, NC 27609, USA",
Oak Street Health Northeast Raleigh Primary Care Clinic,https://www.oakstreethealth.com/locations/raleigh-nc/northeast-raleigh-doctors-office?utm_source=listings&utm_vpf=yext,(919) 436-3908,"4600 Capital Blvd, Raleigh, NC 27604, USA",
"Mamatha Agrawal, MD",https://www.unchealth.org/care-services/doctors/a/mamatha-agrawal-md,(919) 865-7870,"601 E Six Forks Rd Suite 102, Raleigh, NC 27609, USA",
One Medical: North Hills,https://onemedical.com/locations/rdu/northhills?y_source=1_MTA1Mzk0OTM2My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(919) 878-4647,"200 Park at N Hills St Ste 100, Raleigh, NC 27609, USA",StrategicSourcing@onemedical.com; feedback@onemedical.com; medicalrecords@onemedical.com.; press@onemedical.com.; techsupport@onemedical.com.
Dr. John Tanner,https://www.wakemed.org/provider/john-p-tanner-md-primary-care,(919) 488-8066,"601 Oberlin Rd, Raleigh, NC 27605, USA",
Dr. Christopher Rayala,https://www.wakemed.org/provider/christopher-rayala-md-primary-care,(919) 954-4160,"150 E Davie St, Raleigh, NC 27601, USA",
North Hills Internal & Integrative Medicine,http://www.northhillsinternalmedicine.com/,(919) 845-2125,"1631 Midtown Pl Suite 101, Raleigh, NC 27609, USA",nhiimed@gmail.com
"Shelly L. West, MD",https://www.oakstreethealth.com/doctors/dr-shelly-l-west-md?utm_source=listings&utm_vpf=yext,(919) 872-5296,"4600 Capital Blvd, Raleigh, NC 27604, USA",
Select Family Practice and Urgent Care,http://www.selectfamilypractice.com/,(919) 350-0953,"10931 Raven Ridge Rd STE 115, Raleigh, NC 27614, USA",contactus@selectfamilypractice.com
Rakesh Patel Internal Medicine,https://rpatelmdraleigh.com/,(919) 232-0020,"3350 Six Forks Rd, Raleigh, NC 27609, USA",apptdrpatel@gmail.com; apptdrpatel@gmail.comDirections
Reed Family Medicine - Dr. Melissa Reed,https://reedfamilymed.com/,(919) 781-8897,"8341 Bandford Way STE 103, Raleigh, NC 27615, USA",drreed@reedfamilymed.com
Avance Care North Raleigh,https://www.avancecare.com/locations/north-raleigh-nc/,(919) 781-6655,"12341 Strickland Rd Ste 102, Raleigh, NC 27613, USA",
Oak Street Health Southeast Raleigh Primary Care Clinic,https://www.oakstreethealth.com/locations/raleigh-nc/southeast-raleigh-doctors-office?utm_source=listings&utm_vpf=yext,(919) 659-5637,"3416 Poole Rd #120, Raleigh, NC 27610, USA",
HealthBloom Primary Care and Aesthetics,https://healthbloomcare.com/,(919) 258-2440,"9360 Falls of Neuse Rd STE 105, Raleigh, NC 27615, USA",
One Medical: Raleigh Village District,https://onemedical.com/locations/rdu/raleigh-village-district?y_source=1_MTA1Mzk0OTQ3OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(919) 872-3959,"442 Woodburn Rd, Raleigh, NC 27605, USA",StrategicSourcing@onemedical.com; feedback@onemedical.com; medicalrecords@onemedical.com.; press@onemedical.com.; techsupport@onemedical.com.
"Dr. Mark A. Samia, MD",https://masmedical.com/about/our-team/?utm_source=drgmb&utm_medium=drgmb&utm_campaign=drgmb,(919) 882-0030,"2731 B, Capital Blvd, Raleigh, NC 27604, USA",
Capital Family Medicine,https://capitalfamilymedicine.com/,(919) 747-3033,"10831 Forest Pines Dr, Raleigh, NC 27614, USA",
"Dr. Jacqueline Hicks, DO",https://www.wakemed.org/provider/jacqueline-hicks-do-primary-care,(336) 379-1156,"10010 Falls of Neuse Rd Suite 300, Raleigh, NC 27614, USA",
"Christina E. Anderson, MD",https://www.dukehealth.org/locations/duke-primary-care-blue-ridge,(336) 852-3800,"3633 Harden Rd # 100, Raleigh, NC 27607, USA",
Duke Primary Care Midtown,https://www.dukehealth.org/locations/duke-primary-care-midtown?utm_source=google&utm_medium=local&utm_campaign=evergreen,(336) 294-6190,"5920 Sandy Forks Rd Suite 100, Raleigh, NC 27609, USA",
"Dr. Victor Gellineau, MD Primary Care Physician",https://www.oakstreethealth.com/doctors/dr-victor-gellineau-md?utm_source=listings&utm_vpf=rep,(336) 547-1792,"4600 Capital Blvd, Raleigh, NC 27604, USA",
Dr. Nirmala Narasimha,https://www.wakemed.org/provider/nirmala-narasimha-md-primary-care,(336) 373-0611,"150 E Davie St, Raleigh, NC 27601, USA",
The Bone and Joint Surgery Clinic,http://www.raleighboneandjoint.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,(336) 895-1112,"3801 Wake Forest Rd #220, Raleigh, NC 27609, USA",
Wake Internal Medicine & Pediatrics,https://wakeinternalmedicine.com/,(336) 553-0045,"10880 Durant Rd #100, Raleigh, NC 27614, USA",
Dr. Roberto Rupcich,https://www.wakemed.org/provider/roberto-rupcich-md-primary-care,(336) 281-6956,"8001 TW Alexander Dr #216, Raleigh, NC 27617, USA",
Dr. Swapna V. Chenna,https://www.wakemed.org/provider/swapna-v-chenna-md-primary-care,(336) 890-3140,"8001 TW Alexander Dr #216, Raleigh, NC 27617, USA",
"Capital Family Physicians, P.A.",http://www.capitalfamilymd.com/,(336) 273-3661,"2417 Atrium Dr # 201, Raleigh, NC 27607, USA",
Med First Primary & Urgent Care- Raleigh Six Forks,https://thinkmedfirst.com/locations/raleigh-six-forks/,(336) 643-5800,"Park Place, Professional Center, 3396 Six Forks Rd, Raleigh, NC 27609, USA",
Raleigh Primary Care Medicine,https://www.raleighprimarycare.com/,(336) 274-3241,"3200 Fairhill Dr #106, Raleigh, NC 27612, USA",
"Robin R. Di Bona, MD",https://www.unchealth.org/care-services/doctors/d/robin-r-di-bona-md,(336) 543-0786,"3900 Browning Pl Suite 202, Raleigh, NC 27609, USA",
WakeMed Primary Care - Brier Creek,https://www.wakemed.org/location/primary-care-brier-creek,(336) 832-8035,"8001 TW Alexander Dr #216, Raleigh, NC 27617, USA",
Fischer Clinic,http://www.fischerclinic.com/,(336) 378-9906,"417 N Blount St, Raleigh, NC 27601, USA",eberly@fischerclinic.com; gyn@fischerclinic.com; lapinskes@fischerclinic.com; nurse@fischerclinic.com
NextCare Urgent Care Raleigh,https://nextcare.com/locations/nc/raleigh-wake-forest-rd/?utm_source=google&utm_medium=organic&utm_campaign=google_maps&utm_content=raleigh_wake_forest,(336) 288-8857,"4100 Wake Forest Rd, Raleigh, NC 27609, USA",
"Kelly Lynn Weitz, MS, PA-C",https://www.unchealth.org/care-services/doctors/w/kelly-lynn-weitz-ms-pa-c,(336) 275-6445,"219 Oberlin Rd, Raleigh, NC 27605, USA",
Avance Care Northeast Raleigh,https://www.avancecare.com/locations/northeast-raleigh-nc/,(336) 907-3006,"7510 Ramble Way #107, Raleigh, NC 27616, USA",
"Lewis D. Mitchell, MD",https://www.conehealth.com/find-a-doctor/doctor-profile/l-dean-mitchell/,(336) 605-1337,"301 E Wendover Ave #215, Greensboro, NC 27401, USA",
White Cynthia S MD,http://www.eaglemds.com/,(336) 660-5520,"3511 W Market St # A, Greensboro, NC 27403, USA",billing@eaglemds.com; hr@eaglemds.com; officemanager@eaglemds.com; questions@eaglemds.com; tech@eaglemds.com
"Dr. Lisa L. Miller, MD",http://eaglemds.com/,(336) 286-3442,"1210 New Garden Rd, Greensboro, NC 27410, USA",billing@eaglemds.com; hr@eaglemds.com; officemanager@eaglemds.com; questions@eaglemds.com; tech@eaglemds.com
Cone Health LeBauer HealthCare at Green Valley,https://www.lebauer.com/lebauer-practice-location/lebauer-primary-care-elam/,(336) 289-2287,"709 Green Valley Rd, Greensboro, NC 27408, USA",
Greensboro Medical Associates,http://www.greensboromedical.org/?utm_source=GMBSocialClimb&utm_medium=GreensboroMedicalAssociates,(336) 265-7585,"1511 Westover Terrace # 201, Greensboro, NC 27408, USA",portal@greensboromedical.org
"Hilts Direct Primary Care - Michael J. Hilts, M.D.",https://www.hiltsdpc.com/,(336) 841-8500,"411 Parkway Ave Suite E1, Greensboro, NC 27401, USA",
Dana Collins,https://www.greensboromedical.org/our-practice?utm_source=GMBSocialClimb&utm_medium=DanaCollins,(336) 579-2455,"1511 Westover Terrace # 201, Greensboro, NC 27408, USA",portal@greensboromedical.org
Smith Candace T MD,https://www.eaglemds.com/physicians-and-providers/candace-t-smith-md/,(336) 890-2165,"3511 W Market St # A, Greensboro, NC 27403, USA",billing@eaglemds.com; hr@eaglemds.com; officemanager@eaglemds.com; questions@eaglemds.com; tech@eaglemds.com
"Dr. Peter F. Blomgren, MD",https://www.mdvip.com/doctors/peterblomgrenmd?utm_campaign=listing&st-t=rep_&utm_source=google&utm_medium=organic,(336) 897-0004,"317 W Wendover Ave, Greensboro, NC 27408, USA",
Triad Primary Care,https://www.triadprimarycare.com/,(336) 398-3841,"1309 Lees Chapel Rd, Greensboro, NC 27455, USA",
Cone Health Primary Care & Sports Medicine at Drawbridge Parkway,https://www.conehealth.com/locations/profile/cone-health-primary-care-at-drawbridge-parkway/,(336) 272-4578,"3518 Drawbridge Pkwy Suite 330, Greensboro, NC 27410, USA",
Physicians For Women of Greensboro,https://physiciansforwomen.com/,(336) 907-3907,"802 Green Valley Rd #300, Greensboro, NC 27408, USA",Linda.Murray@unifiedhc.com; Misty.Page@unifiedhc.com; apettiford@physiciansforwomen.com; bhicks@physiciansforwomen.com; mgee@physiciansforwomen.com; wecare@physiciansforwomen.com
Novant Health Northern Family Medicine - Lake Brandt,https://www.novanthealth.org/locations/clinics/northern-family-medicine-lake-brandt/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-210,(336) 890-2040,"6161 Lake Brandt Rd, Greensboro, NC 27455, USA",
"Dr. Robert N. Gates, MD",https://www.conehealth.com/find-a-doctor/doctor-profile/robert-nevill-gates/,(336) 915-9247,"301 E Wendover Ave, Greensboro, NC 27401, USA",
Elizabeth Dewey MD,http://www.elizabethdeweymd.com/,(336) 663-4600,"4125 Lawndale Dr, Greensboro, NC 27455, USA",
Cone Health Family Medicine Center,http://www.conehealth.com/family-medicine-center,(919) 941-0158,"1125 N Church St, Greensboro, NC 27401, USA",
Greensboro Adult & Adolescent,https://weence.com/medical/doctors/greensboro/greensboro-adult-adolescent/,(919) 477-6900,"1511 Westover Terrace STE 103, Greensboro, NC 27408, USA",
Novant Health New Garden Medical Associates,https://www.novanthealth.org/locations/clinics/new-garden-medical-associates/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-207,(919) 220-9800,"1941 New Garden Rd #216, Greensboro, NC 27410, USA",
Cone Health Piedmont Family Medicine,https://www.conehealth.com/chmg/practice-locations/profile/piedmont-family-medicine/,(919) 748-4990,"1581 Yanceyville St, Greensboro, NC 27405, USA",
"Dr. Kimberly R. Shelton, MD",https://www.mdvip.com/doctors/kimberlysheltonmd?utm_campaign=listing&st-t=rep_&utm_source=google&utm_medium=organic,(919) 471-4484,"1591 Yanceyville St Suite 200-A, Greensboro, NC 27405, USA",
Novant Health Ironwood Family Medicine,https://www.novanthealth.org/locations/clinics/ironwood-family-medicine/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-148,(910) 325-2584,"6316 Old Oak Ridge Rd, Greensboro, NC 27410, USA",
Novant Health Primary Care Lindley Park,https://www.novanthealth.org/locations/clinics/primary-care-lindley-park/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-547,(919) 572-2000,"3515 W Market St Suite 200, Greensboro, NC 27403, USA",
"Stephen A. Fry, MD",https://www.conehealth.com/find-a-doctor/doctor-profile/Stephen-Fry,(844) 932-5700,"3803 Robert Porcher Way, Greensboro, NC 27410, USA",
"Karrar Husain, MD",https://www.conehealth.com/find-a-doctor/doctor-profile/karrar-husain/,(919) 544-6461,"301 E Wendover Ave #200, Greensboro, NC 27401, USA",
Bethany Medical at West Market,https://mybethanymedical.com/locations/bethany-medical-at-west-market/?utm_source=google&utm_medium=organic&utm_campaign=google_business,(919) 419-0242,"3801 W Market St, Greensboro, NC 27407, USA",billing@mybethanymedical.com; customersvc@mybethanymedical.com
